500 x 50
MAGMA dgeqrf Time=41.268110 ms
CUBLAS dgeqrf Time=194.493055 ms
MAGMA dgeqrf Time=41.247129 ms
CUBLAS dgeqrf Time=194.545984 ms
MAGMA dgeqrf Time=41.174173 ms
CUBLAS dgeqrf Time=194.774151 ms
MAGMA dgeqrf Time=41.048050 ms
CUBLAS dgeqrf Time=194.535017 ms
2000 x 150
MAGMA dgeqrf Time=81.062078 ms
CUBLAS dgeqrf Time=459.229946 ms
MAGMA dgeqrf Time=81.033945 ms
CUBLAS dgeqrf Time=458.463192 ms
MAGMA dgeqrf Time=81.200123 ms
CUBLAS dgeqrf Time=459.015131 ms
MAGMA dgeqrf Time=81.079960 ms
CUBLAS dgeqrf Time=459.444046 ms
MAGMA dgeqrf Time=80.975056 ms
CUBLAS dgeqrf Time=458.731890 ms
2000 x 200
MAGMA dgeqrf Time=170.518875 ms
CUBLAS dgeqrf Time=823.969126 ms
MAGMA dgeqrf Time=170.696974 ms
CUBLAS dgeqrf Time=823.809147 ms
MAGMA dgeqrf Time=170.561075 ms
CUBLAS dgeqrf Time=823.945999 ms
MAGMA dgeqrf Time=170.320034 ms
CUBLAS dgeqrf Time=826.078892 ms
MAGMA dgeqrf Time=170.481920 ms
CUBLAS dgeqrf Time=823.993921 ms
2000 x 250
MAGMA dgeqrf Time=271.143913 ms
CUBLAS dgeqrf Time=1288.602829 ms
MAGMA dgeqrf Time=271.726131 ms
CUBLAS dgeqrf Time=1290.630102 ms
MAGMA dgeqrf Time=271.405935 ms
CUBLAS dgeqrf Time=1288.259029 ms
MAGMA dgeqrf Time=271.433115 ms
CUBLAS dgeqrf Time=1288.338900 ms
MAGMA dgeqrf Time=271.456957 ms
CUBLAS dgeqrf Time=1288.302183 ms
2000 x 300
MAGMA dgeqrf Time=446.092844 ms
CUBLAS dgeqrf Time=1846.935987 ms
MAGMA dgeqrf Time=445.870876 ms
CUBLAS dgeqrf Time=1848.633051 ms
MAGMA dgeqrf Time=446.561098 ms
CUBLAS dgeqrf Time=1849.220037 ms
MAGMA dgeqrf Time=446.090937 ms
CUBLAS dgeqrf Time=1850.074053 ms
MAGMA dgeqrf Time=445.369005 ms
CUBLAS dgeqrf Time=1847.677946 ms
2000 x 350
MAGMA dgeqrf Time=628.063202 ms
CUBLAS dgeqrf Time=2498.294115 ms
MAGMA dgeqrf Time=637.058020 ms
CUBLAS dgeqrf Time=2527.521133 ms
MAGMA dgeqrf Time=627.983809 ms
CUBLAS dgeqrf Time=2502.398014 ms
MAGMA dgeqrf Time=636.147022 ms
CUBLAS dgeqrf Time=2530.286074 ms
MAGMA dgeqrf Time=627.836943 ms
CUBLAS dgeqrf Time=2499.830008 ms
2000 x 400
MAGMA dgeqrf Time=924.538851 ms
CUBLAS dgeqrf Time=3251.711130 ms
MAGMA dgeqrf Time=923.700094 ms
CUBLAS dgeqrf Time=3245.929956 ms
MAGMA dgeqrf Time=923.846006 ms
CUBLAS dgeqrf Time=3251.805067 ms
MAGMA dgeqrf Time=923.539877 ms
CUBLAS dgeqrf Time=3248.115063 ms
MAGMA dgeqrf Time=923.431158 ms
CUBLAS dgeqrf Time=3243.204117 ms
